split,n,symbols,days,mean,median
train,4081,87,181,-2.039705380483223,-117.3827279798241
validation,1578,87,67,-22.257778254280264,-129.93785751116593
holdout,1362,87,54,-41.85417786083275,-121.2848995119387
forward,824,86,36,33.277935097431644,-103.38111901607323
combined_oos,2186,87,89,-13.533564376107307,-116.34864612186799
