cap_snapshots,symbols,n,mean_improvement_bps,se_bps,t_stat,detectable_bps,wait_rate_pct,mean_improvement_on_waited_bps,mean_wait_ms,forced_pct,share_improved_pct,control_mean_bps
1,9,401789,0.04846,0.00247,19.61641,0.00741,15.57459,0.33783,9369.21050,2.37637,4.63900,0.00013
3,9,401773,0.05910,0.00271,21.84121,0.00812,15.57123,0.40589,11101.31397,0.04405,4.72082,0.00015
6,9,401769,0.05916,0.00271,21.84607,0.00812,15.57039,0.40512,11128.13794,0.00000,4.71813,0.00470
