symbol,settle_n,settle_mean_bps,settle_t,control_n,control_mean_bps,control_t
AAVEUSDT,44,0.9398699286261928,1.0818274924615885,303,-0.6632576461667674,-1.8548431510329484
ADAUSDT,34,-1.5322771362378065,-1.3996132439592386,199,0.08971634546037793,0.16773525223778382
ARBUSDT,46,1.5965701871883426,1.367618040668277,251,0.3129983044379261,0.6201450261448093
AVAXUSDT,36,-2.5292647342661483,-3.251907478480631,209,0.38839020808638103,1.0672939553055607
BNBUSDT,26,-1.1880031238429738,-2.295033379776847,142,-0.20666756021895005,-0.7490453078131448
