horizon_s,n,A_minus_B_bps,se_bps,t
5,733220,0.1329508270660085,0.008359157314189649,15.904812180089587
10,685174,0.15355697647799996,0.010827764028022841,14.18178084418779
30,662950,0.1720869592107008,0.01910656528166878,9.006692551685596
60,693292,0.19213697735403157,0.026381868014244175,7.282917845328178
