symbol,n,mean_bps,se_bps,t_stat,wait_rate_pct,mean_spread_at_veto_bps,mean_spread_at_fill_bps
AAVEUSDT,63730,0.11204207462541439,0.005707840369055761,19.629503872048428,18.917307390553898,1.0900927276763153,1.0902642969095746
ADAUSDT,63732,0.1719997294623311,0.009398093598030259,18.301555274825144,19.345069980543528,5.2619140691117,5.2610473444008585
AMATUSDT,63733,0.019385485752817778,0.004071109088446249,4.761721027774351,2.7819183154723612,15.226397744688267,14.736611839648743
ARBUSDT,63731,0.07057335262964608,0.005067940104646462,13.925451203525867,15.913762533147134,1.3134831462397187,1.3525131923089901
AVAXUSDT,63732,0.07837648278131014,0.0059454407480775216,13.182619439383606,17.49827402246909,1.514018101136917,1.5140068132355395
B3USDT,63734,0.036357637050620076,0.004654430754110443,7.811403578947168,4.537609439231807,9.531747844853475,9.236300036650919
BILLUSDT,63734,0.06767559519410689,0.008804482737077122,7.6864930303189585,10.12018702733235,6.263798922919855,6.03126394300272
BNBUSDT,63733,0.055424879258644796,0.0028797939280381705,19.24612685616794,14.825914361476785,1.6958014214026145,1.6950859114517975
BSBUSDT,63736,0.07958660500688847,0.008450453327827335,9.418027876067885,12.707104305259195,2.2470365634906484,2.132770256920083
