split,n,symbols,days,mean,median
train,715,86,178,-15.4569031676714,-7.254681647940488
validation,248,83,60,88.83671096956067,97.04341809268345
holdout,201,79,51,-23.652248253753317,17.01556420233392
forward,134,72,32,5.999929749484078,29.658376798404475
combined_oos,335,84,82,-11.791377052458367,26.01989819528103
