symbol,n,span_h,abs_p50,abs_p99,abs_p999,abs_max,pct_over_16,pct_over_32,exc16_ge1s,own_spread_bps
AAVEUSDT,1885438,167.99871833333333,1.1373976342135026,5.252100840335836,6.6291017567106465,57.113717491076216,0.0037126651738216797,0.0007425330347643359,3,1.045
ADAUSDT,1134569,167.99610555555554,5.678591709255479,12.315270935959235,12.618296529968815,66.90997566910083,0.007227414110556519,0.001322087947053022,3,6.055
AERGOUSDT,614819,151.73148805555556,22.391401701745618,99.36766034327076,115.19716437749216,155.4174067495558,63.73892153625701,32.34285212395843,16534,8.929
AMATUSDT,221542,151.56902916666667,9.080590238365838,63.173966981583334,71.16823326299487,116.62028359932756,27.126684782118062,9.129194464255084,2705,11.803
ARBUSDT,1577180,167.99427555555556,3.3848584000905166,8.91762345334932,11.0521662245788,45.565681262502075,0.005769791653457436,0.0010778731660305101,1,1.137
AVAXUSDT,1224794,151.67100472222222,1.5163002274441937,4.594180704441215,6.119951040392363,31.885818402672193,0.001469634893704574,0,1,1.533
BILLUSDT,1873387,151.66048194444446,7.861635220125466,22.927015666793107,30.1886792452831,114.6350783339695,9.261994451760367,0.0328816202952193,6602,4.242
BNBUSDT,899963,151.69653888888888,11.27297953520599,14.914897350412751,15.87578506629393,27.845457709711496,0.05678011207127404,0,24,1.752
BSBUSDT,950552,151.66407305555555,8.93189430591805,22.803283672848487,28.169014084508465,175.6659467242619,12.015649853979582,0.021671618175544315,5184,3.078
