delta_ms,symbols,n,median_staleness_ms,per_executed_gain_bps,separation_bps,separation_t,detectable_bps,retained_pct,veto_rate_pct,allow_mean_bps,veto_mean_bps
0,1,16506,3030.0000,0.0515,0.2736,1.5963,0.5142,100.0000,18.8174,-0.4609,-0.7345
1000,1,16564,4134.5000,0.0381,0.2029,1.1758,0.5176,74.1449,18.7998,-0.4744,-0.6772
2500,1,16608,5784.0000,0.0367,0.1953,1.1341,0.5167,71.3924,18.7681,-0.4758,-0.6712
5000,1,16626,8310.0000,0.0137,0.0730,0.4230,0.5181,26.6975,18.7898,-0.4988,-0.5718
7500,1,16604,10477.0000,0.0025,0.0131,0.0752,0.5214,4.7776,18.7545,-0.5101,-0.5231
10000,1,16524,13045.0000,-0.0039,-0.0209,-0.1217,0.5152,-7.6406,18.7485,-0.5164,-0.4955
