split,n,symbols,days,net_mean_bps,net_median_bps,win_rate_pct,max_drawdown_bps
train,6,6,6,-166.86633271113308,-113.07450364231997,0,-1001.1979962667986
validation,8,8,5,42.411151590267416,-41.42662284584125,50,-577.3685277903717
holdout,1,1,1,-118.86285437363695,-118.86285437363695,0,-118.86285437363695
forward,2,2,2,-131.02126523175795,-131.02126523175795,0,-262.0425304635159
combined_oos,3,2,3,-126.96846161238427,-127.30583520672276,0,-380.90538483715284
