row,name,article,supplier,volume,parallel,price,sale_price,free,reserve,pom_free,rev_free
953,"Вино полусладкое белое ""Адегой"" 0,7Л",АЙС004,Айспирит ООО,0.7,,374.85,,23.0,27.0,23.0,0
954,"Вино полусладкое белое ""ВИЛЛА ГРАНДЕ"" 1,0Л",УМ206,РЕГИОН 50,1,,711.07,,106.0,0,106.0,0
955,Вино полусладкое белое Шепси 0.75л,АЙС006,Айспирит ООО,0.75,,410.19,,12.0,24.0,12.0,0
956,"Вино полусладкое красное ""Абадзехи"" 0,7Л",АЙС002,Айспирит ООО,0.7,,374.85,,33.0,36.0,33.0,0
957,"Вино полусладкое красное ""Ахун"" 0,7Л",АЙС003,Айспирит ООО,0.7,,374.85,,36.0,36.0,36.0,0
958,"Вино полусладкое красное ""ВИЛЛА ГРАНДЕ"" 1,0Л",УМ207,РЕГИОН 50,1,,711.07,,205.0,0,205.0,0
959,"Вино полусладкое красное ""Каберне"",  1,5Л",КУ004,,1.5,,612.0,,645.0,0,645.0,0
960,"Вино полусладкое красное ""Ханчакрак"" 0.7л",АЙС007,Айспирит ООО,0.7,,376.0,,120.0,60.0,120.0,0
961,"Вино полусладкое красное ""Чилипси"" бут. 0,75л",АЙС008,Айспирит ООО,0.75,,410.19,,54.0,60.0,54.0,0
962,"Вино сухое белое Виндемиатрикс ТЗ Калос Лимен 0,187л.",ОН035,Прометей,0.187,,499.22,,11.0,0,11.0,0
964,"Кубань. Новороссийск сухое белое ""Шато Пино. Гравитация. Шардоне/Рислинг"" 0.75л.",АИ473А,АСТ-интернэшнл инваэронмэнт,0.75,,679.59,,17.0,0,17.0,0
965,"Кубань. Новороссийск сухое белое ""Шато Пино.Колдун Белый"" 0.75л.",АИ474А,АСТ-интернэшнл инваэронмэнт,0.75,,1166.4,,29.0,0,29.0,0
966,"Кубань. Новороссийск сухое красное ""Шато Пино.Колдун Красный"" 0.75л.",АИ475А,АСТ-интернэшнл инваэронмэнт,0.75,,1166.4,,11.0,0,11.0,0
967,Шато Пино. Гравитация. Каберне Фран/Каберне Совиньон российское сухое красное 0.75л.,АИ471А,АСТ-интернэшнл инваэронмэнт,0.75,,679.59,,53.0,0,53.0,0
969,Шато Пино. Дикари. Каберне Совиньон сухое красное 0.75л.,АИ504А,АСТ-интернэшнл инваэронмэнт,0.75,,2012.85,,6.0,0,6.0,0
970,Шато Пино. Дикари. Совиньон Блан сух белое 0.75л.,АИ503А,АСТ-интернэшнл инваэронмэнт,0.75,,2012.85,,39.0,0,39.0,0
972,"Вино сухое белое МУСКАТ ГАЙ-КОДЗОР 0,75",ВК320,ВИНИКОМ ООО,0.75,,1520.9,,53.0,0,53.0,0
973,Вино сухое красное МАЛЬБЕК де ГАЙ-КОДЗОР 0.75л.,ВК385,ВИНИКОМ ООО,0.75,,1496.42,,24.0,0,24.0,0
974,"Вино сухое розовое РОЗЕ де ГАЙ-КОДЗОР 0,75л",ВК382,ВИНИКОМ ООО,0.75,,1446.57,,48.0,0,48.0,0
975,"Вионье Гай Кодзор сухое белое 0,75",ВК147Н,ВИНИКОМ ООО,0.75,,1520.9,,10.0,0,10.0,0
976,"РУССАН де ГАЙ-КОДЗОР сухое белое 0,75Л",ВК187,ВИНИКОМ ООО,0.75,,1450.56,,12.0,0,12.0,0
980,Рислинг Геленджик-Криница-Бетта белое сухое вино 0.75л,АИ707А,АСТ-интернэшнл инваэронмэнт,0.75,,2939.49,,4.0,0,4.0,0
981,Российское вино Кубань Геленджик сухое красное Арена 0.75л.,АИ1214,АСТ-интернэшнл инваэронмэнт,0.75,,1635.39,,3.0,0,3.0,0
982,Российское Вионье Геленджик-Криница-Бетта белое сухое 13.1% 0.75л.,АИ704,АСТ-интернэшнл инваэронмэнт,0.75,,2939.49,,6.0,0,6.0,0
983,Российское Риваж Геленджик-Криница-Бетта красное сухое 0.75л.,АИ706,АСТ-интернэшнл инваэронмэнт,0.75,,3261.06,,4.0,0,4.0,0
984,Сиракюз 2023 розовое сухое вино 0.75л,АИ708А,АСТ-интернэшнл инваэронмэнт,0.75,,1615.95,,3.0,0,3.0,0
986,Кантиани Каберне Совиньон  красное сухое вино 0.75л,ЛС045,АЛВИСА ООО,0.75,,448.62,,103.0,0,103.0,0
987,Кантиани Оранж белое сухое вино 0.75л,ЛС047,АЛВИСА ООО,0.75,,448.62,,124.0,0,124.0,0
988,Кантиани Рислинг Рейнский белое сухое вино 0.75л,ЛС046,АЛВИСА ООО,0.75,,448.62,,112.0,0,112.0,0
989,Кантиани Саперави-Мерло красное сухое вино 0.75л,ЛС044,АЛВИСА ООО,0.75,,420.59,,106.0,0,106.0,0
991,"Вино полусладкое белое  Ди Каспико  0,75л.",ДЕР022,,0.75,,564.57,,24.0,0,24.0,0
992,"Вино полусладкое белое  Ди Каспико Спешл Эдишн  0,75л.",ДЕР027,,0.75,,564.57,,42.0,0,42.0,0
993,"Вино полусухое белое  Ди Каспико Фиори Ди Маре Верде  0,75л.",ДЕР025,,0.75,,552.33,,2.0,0,2.0,0
994,"Вино полусухое розовое  Ди Каспико Фиори Ди Маре Верде  0,75л.",ДЕР028,,0.75,,552.33,,33.0,0,33.0,0
995,"Вино сухое белое  Ди Каспико Рислинг  0,75л.",ДЕР018,,0.75,,564.57,,97.0,0,97.0,0
996,"Вино сухое белое  Кавказиан Ркацители  0,75л.",ДЕР035,,0.75,,598.23,,57.0,0,57.0,0
997,"Вино сухое белое  Эндемы Шардоне  0,75л.",ДЕР026,,0.75,,1773.27,,24.0,0,24.0,0
998,"Вино сухое белое ""ДЭСОНО Шардоне"" 0.75л",ДЕР040,,0.75,,726.75,,12.0,0,12.0,0
999,Вино сухое белое Ди Каспико Совиньон 0.75л,ДЕР045,,0.75,,564.57,,48.0,0,48.0,0
1000,Вино сухое белое Ди Каспико Шардоне 0.75л,ДЕР048,,0.75,,564.57,,19.0,0,19.0,0
1001,Вино сухое белое ДЭСОНО Рислинг 0.75л,ДЕР046,,0.75,,726.75,,48.0,0,48.0,0
1002,"Вино сухое красное  ДЭСОНО Каберне Совиньон 0,75л.",ДЕР004,,0.75,,726.75,,123.0,0,123.0,0
1003,"Вино сухое красное  ДЭСОНО Каберне Фран 0,75л.",ДЕР005,,0.75,,726.75,,138.0,0,138.0,0
1004,"Вино сухое красное  ДЭСОНО Мерло 0,75л.",ДЕР002,,0.75,,726.75,,66.0,0,66.0,0
1005,"Вино сухое красное  ДЭСОНО Саперави 0,75л.",ДЕР010,,0.75,,726.75,,16.0,0,16.0,0
1006,"Вино сухое красное  Кавказиан Саперави  0,75л.",ДЕР037,,0.75,,598.23,,91.0,0,91.0,0
1007,"Вино сухое розовое  Ди Каспико Розе  0,75л.",ДЕР032,,0.75,,564.57,,72.0,0,72.0,0
